layers,parameters,epochs,d_model,learning_rate,train_acc,val_acc,best_val_acc,loss,runtime_sec
1,118540,50,64,0.0002,0.185473552,0.200258342,0.200454906,2.010952225,507.9146107
2,235276,50,64,0.0002,0.438943408,0.471683812,0.471821773,1.227388192,702.068659
4,468748,50,64,0.0002,0.596980976,0.627740909,0.627888642,0.835244764,1101.106162
4,468748,50,64,0.001,0.62599352,0.624691118,0.626397927,0.682598543,1097.217991
8,935692,50,64,0.0002,0.607159551,0.626031663,0.626151308,0.804753422,1856.187774
8,935692,50,64,0.0005,0.625590945,0.627250114,0.627902067,0.689836533,1857.50287
8,3706380,100,128,0.0005,0.632166606,0.628295196,0.628889773,0.664682319,6514.737835
12,1402636,50,64,0.0002,0.606758603,0.622826813,0.623031925,0.808098971,2611.931593
12,1402636,50,64,0.0005,0.625627057,0.626821582,0.626976636,0.697925752,2614.963999
12,1402636,50,64,0.001,0.111195475,0.111111112,0.111111112,2.197224479,2610.699155
16,1869580,50,64,0.0002,0.603984424,0.625111107,0.625296686,0.85068556,3377.305533
16,1869580,50,64,0.0003,0.611347629,0.622952566,0.623075875,0.807164816,3379.971982
16,1869580,50,64,0.0005,0.111187483,0.111111112,0.123733934,2.197225618,3378.071443
16,7409164,50,128,0.0005,0.111210917,0.111111112,0.111111112,2.197225237,4932.358663
